Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,157,0,39,58.94371604550241,21.415000010165386,205.9727500018198,42.0,17.459595255369084,0.0,39,55,74,82,150,180,190,200,210,210,210
,Aggregated,157,0,39,58.94371604550241,21.415000010165386,205.9727500018198,42.0,17.459595255369084,0.0,39,55,74,82,150,180,190,200,210,210,210
