Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789001838,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789001839,8,,Aggregated,0.000000,0.000000,110,140,160,160,190,190,190,190,190,190,190,8,0,92,105.73777074932877,31.767375010531396,189.49487499776296,42.0
1789001840,16,,Aggregated,0.000000,0.000000,80,110,140,160,180,190,210,210,210,210,210,22,0,67,88.83689009036806,21.48924999346491,205.9727500018198,42.0
1789001841,24,,Aggregated,0.000000,0.000000,52,110,130,150,180,200,210,210,210,210,210,38,0,51,80.98025113232373,21.48924999346491,205.9727500018198,42.0
1789001842,32,,Aggregated,10.000000,0.000000,48,92,130,140,180,200,200,210,210,210,210,56,0,46,76.23459741184239,21.48924999346491,205.9727500018198,42.0
1789001843,40,,Aggregated,12.666667,0.000000,51,92,120,140,170,190,200,210,210,210,210,82,0,48,76.18406704994679,21.48924999346491,205.9727500018198,42.0
